catalogue_az,catalogue_alt,obs_az,obs_alt,alt_diff,az_diff
75.062098,61.160579,75.864141,61.137872,-0.022706999999996924,0.8020429999999976
62.930545,73.539493,63.732678,73.516319,-0.023173999999997363,0.8021329999999978
88.623565,66.211619,89.418696,66.192919,-0.018699999999995498,0.7951309999999978
266.853709,75.826501,267.744325,75.824811,-0.0016899999999964166,0.8906160000000227
256.454544,66.680453,257.307255,66.679288,-0.0011650000000003047,0.8527109999999993
220.650305,73.827389,221.493677,73.831831,0.0044419999999973925,0.843371999999988
231.635308,61.665612,232.468589,61.667199,0.0015869999999935658,0.8332809999999995
194.810387,60.604871,195.625005,60.606982,0.002110999999999308,0.8146179999999958
230.436354,49.3839,231.261573,49.384478,0.0005780000000044083,0.8252190000000041
257.958114,50.326958,258.791902,50.323517,-0.0034409999999951424,0.83378799999997
268.591213,34.108987,269.418691,34.103274,-0.005713000000000079,0.8274780000000419
266.168111,23.863213,266.992036,23.858764,-0.004448999999997483,0.8239249999999743
253.201148,35.977119,254.027183,35.9746,-0.002518999999999494,0.8260350000000187
247.259228,24.743229,248.081188,24.7424,-0.0008289999999995246,0.82195999999999
233.672204,37.199517,234.494415,37.199722,0.00020500000000112095,0.82221100000001
211.117019,38.75902,211.934389,38.760397,0.0013769999999979632,0.817370000000011
194.478183,26.73161,195.292727,26.733146,0.0015360000000015361,0.8145440000000121
181.160471,44.863468,181.971446,44.863604,0.00013600000000479895,0.8109749999999849
157.024741,30.315097,157.836019,30.312077,-0.0030200000000029092,0.8112779999999873
125.915895,32.818254,126.724382,32.808325,-0.009928999999999633,0.8084869999999995
